timestamp,vrms,irms,realPower,powerFactor,device_label
2026-05-19T05:22:49Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:22:49Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:22:51Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:22:53Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:22:55Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:22:57Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:22:59Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:01Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:03Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:05Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:07Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:09Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:11Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:13Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:15Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:17Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:19Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:21Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:23Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:25Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:27Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:29Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:31Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:33Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:35Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:37Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:39Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:41Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:43Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:45Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:47Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:49Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:51Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:53Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:55Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:57Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:23:59Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:01Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:03Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:05Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:07Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:09Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:11Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:13Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:15Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:17Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:19Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:21Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:23Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:25Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:27Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:29Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:31Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:33Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:35Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:37Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:39Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:41Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:43Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:45Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:47Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:49Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:51Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:53Z,0.0,0.00,0.0,0.00,Idle
2026-05-19T05:24:57Z,224.5,0.26,44.7,0.77,laptop
2026-05-19T05:24:59Z,224.5,0.23,38.6,0.75,laptop
2026-05-19T05:25:01Z,224.2,0.49,95.7,0.88,laptop
2026-05-19T05:25:03Z,224.5,0.46,89.6,0.87,laptop
2026-05-19T05:25:05Z,224.4,0.45,87.2,0.87,laptop
