timestamp,vrms,irms,realPower,powerFactor,device_label
2026-05-18T07:58:44Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:58:47Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:58:50Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:58:51Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:58:59Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:02Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:08Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:12Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:16Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:16Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:27Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:29Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:29Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:32Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:36Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:47Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:50Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:51Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:53Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:55Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:57Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T07:59:59Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:01Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:05Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:09Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:09Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:11Z,0.0,0.00,0.0,0.00,Idle
